r,y,TotalDiscountedCost
"Region1",2018,64726.305431644
"Region1",2019,63975.874762527
"Region1",2020,63598.6090500395
"Region1",2021,62502.5408215697
"Region1",2022,66676.5062125006
"Region1",2023,65555.3883783601
"Region1",2024,64260.7900765002
"Region1",2025,63103.5234146621
"Region1",2026,61940.5626957123
"Region1",2027,62641.0787803041
"Region1",2028,58888.5139412651
"Region1",2029,58357.9337876607
"Region1",2030,57849.9486363518
"Region1",2031,57352.4916469057
"Region1",2032,56877.1000354888
"Region1",2033,56416.0484554066
"Region1",2034,55971.2510126356
"Region1",2035,55547.0175112299
"Region1",2036,55960.9325764795
"Region1",2037,58144.8378656181
"Region1",2038,57442.1670501622
"Region1",2039,56747.805685811
"Region1",2040,56061.6796929841
"Region1",2041,55351.1283295719
"Region1",2042,54731.3254619379
"Region1",2043,56755.9574660566
"Region1",2044,56165.4232210063
"Region1",2045,54456.576398954
"Region1",2046,52152.2465173552
"Region1",2047,48797.97700717
"Region1",2048,48113.7152662265
"Region1",2049,48076.0523557633
"Region1",2050,47445.4875866341
