r,t,e,y,AnnualTechnologyEmission
"Region1","BIOFUEL_PROD","CH4",2018,0
"Region1","BIOFUEL_PROD","CH4",2019,0
"Region1","BIOFUEL_PROD","CH4",2020,0
"Region1","BIOFUEL_PROD","CH4",2021,0
"Region1","BIOFUEL_PROD","CH4",2022,0
"Region1","BIOFUEL_PROD","CH4",2023,0
"Region1","BIOFUEL_PROD","CH4",2024,0
"Region1","BIOFUEL_PROD","CH4",2025,0
"Region1","BIOFUEL_PROD","CH4",2026,0
"Region1","BIOFUEL_PROD","CH4",2027,0
"Region1","BIOFUEL_PROD","CH4",2028,0
"Region1","BIOFUEL_PROD","CH4",2029,0
"Region1","BIOFUEL_PROD","CH4",2030,0
"Region1","BIOFUEL_PROD","CH4",2031,0
"Region1","BIOFUEL_PROD","CH4",2032,0
"Region1","BIOFUEL_PROD","CH4",2033,0
"Region1","BIOFUEL_PROD","CH4",2034,0
"Region1","BIOFUEL_PROD","CH4",2035,0
"Region1","BIOFUEL_PROD","CH4",2036,0
"Region1","BIOFUEL_PROD","CH4",2037,0
"Region1","BIOFUEL_PROD","CH4",2038,0
"Region1","BIOFUEL_PROD","CH4",2039,0
"Region1","BIOFUEL_PROD","CH4",2040,0
"Region1","BIOFUEL_PROD","CH4",2041,0
"Region1","BIOFUEL_PROD","CH4",2042,0
"Region1","BIOFUEL_PROD","CH4",2043,0
"Region1","BIOFUEL_PROD","CH4",2044,0
"Region1","BIOFUEL_PROD","CH4",2045,0
"Region1","BIOFUEL_PROD","CH4",2046,0
"Region1","BIOFUEL_PROD","CH4",2047,0
"Region1","BIOFUEL_PROD","CH4",2048,0
"Region1","BIOFUEL_PROD","CH4",2049,0
"Region1","BIOFUEL_PROD","CH4",2050,0
"Region1","BIOFUEL_PROD","CO",2018,0
"Region1","BIOFUEL_PROD","CO",2019,0
"Region1","BIOFUEL_PROD","CO",2020,0
"Region1","BIOFUEL_PROD","CO",2021,0
"Region1","BIOFUEL_PROD","CO",2022,0
"Region1","BIOFUEL_PROD","CO",2023,0
"Region1","BIOFUEL_PROD","CO",2024,0
"Region1","BIOFUEL_PROD","CO",2025,0
"Region1","BIOFUEL_PROD","CO",2026,0
"Region1","BIOFUEL_PROD","CO",2027,0
"Region1","BIOFUEL_PROD","CO",2028,0
"Region1","BIOFUEL_PROD","CO",2029,0
"Region1","BIOFUEL_PROD","CO",2030,0
"Region1","BIOFUEL_PROD","CO",2031,0
"Region1","BIOFUEL_PROD","CO",2032,0
"Region1","BIOFUEL_PROD","CO",2033,0
"Region1","BIOFUEL_PROD","CO",2034,0
"Region1","BIOFUEL_PROD","CO",2035,0
"Region1","BIOFUEL_PROD","CO",2036,0
"Region1","BIOFUEL_PROD","CO",2037,0
"Region1","BIOFUEL_PROD","CO",2038,0
"Region1","BIOFUEL_PROD","CO",2039,0
"Region1","BIOFUEL_PROD","CO",2040,0
"Region1","BIOFUEL_PROD","CO",2041,0
"Region1","BIOFUEL_PROD","CO",2042,0
"Region1","BIOFUEL_PROD","CO",2043,0
"Region1","BIOFUEL_PROD","CO",2044,0
"Region1","BIOFUEL_PROD","CO",2045,0
"Region1","BIOFUEL_PROD","CO",2046,0
"Region1","BIOFUEL_PROD","CO",2047,0
"Region1","BIOFUEL_PROD","CO",2048,0
"Region1","BIOFUEL_PROD","CO",2049,0
"Region1","BIOFUEL_PROD","CO",2050,0
"Region1","BIOFUEL_PROD","CO2",2018,0
"Region1","BIOFUEL_PROD","CO2",2019,0
"Region1","BIOFUEL_PROD","CO2",2020,0
"Region1","BIOFUEL_PROD","CO2",2021,0
"Region1","BIOFUEL_PROD","CO2",2022,0
"Region1","BIOFUEL_PROD","CO2",2023,0
"Region1","BIOFUEL_PROD","CO2",2024,0
"Region1","BIOFUEL_PROD","CO2",2025,0
"Region1","BIOFUEL_PROD","CO2",2026,0
"Region1","BIOFUEL_PROD","CO2",2027,0
"Region1","BIOFUEL_PROD","CO2",2028,0
"Region1","BIOFUEL_PROD","CO2",2029,0
"Region1","BIOFUEL_PROD","CO2",2030,0
"Region1","BIOFUEL_PROD","CO2",2031,0
"Region1","BIOFUEL_PROD","CO2",2032,0
"Region1","BIOFUEL_PROD","CO2",2033,0
"Region1","BIOFUEL_PROD","CO2",2034,0
"Region1","BIOFUEL_PROD","CO2",2035,0
"Region1","BIOFUEL_PROD","CO2",2036,0
"Region1","BIOFUEL_PROD","CO2",2037,0
"Region1","BIOFUEL_PROD","CO2",2038,0
"Region1","BIOFUEL_PROD","CO2",2039,0
"Region1","BIOFUEL_PROD","CO2",2040,0
"Region1","BIOFUEL_PROD","CO2",2041,0
"Region1","BIOFUEL_PROD","CO2",2042,0
"Region1","BIOFUEL_PROD","CO2",2043,0
