r,y,TotalDiscountedCost
"Region1",2018,82612.3197878791
"Region1",2019,78171.9382928845
"Region1",2020,75934.7794342601
"Region1",2021,74466.8659394381
"Region1",2022,72316.1160423186
"Region1",2023,69264.2575010628
"Region1",2024,64162.4107306927
"Region1",2025,55369.4816930912
"Region1",2026,52089.2678878771
"Region1",2027,48946.3377700023
"Region1",2028,44526.8634559867
"Region1",2029,41978.5708981964
"Region1",2030,38690.4133761782
"Region1",2031,36636.2902358294
"Region1",2032,34496.660738477
"Region1",2033,32387.2954022204
"Region1",2034,30438.4484509675
"Region1",2035,28649.7343312238
