r,t,f,y,UseByTechnologyAnnual
"Region1","BIODSL_PROD_001","BIO",2018,298.836253006722
"Region1","BIODSL_PROD_001","BIO",2019,349.500635986541
"Region1","BIODSL_PROD_001","BIO",2020,401.995501576765
"Region1","BIODSL_PROD_001","BIO",2021,456.409027397705
"Region1","BIODSL_PROD_001","BIO",2022,512.833738942826
"Region1","BIODSL_PROD_001","BIO",2023,571.366771012682
"Region1","BIODSL_PROD_001","BIO",2024,632.110015070661
"Region1","BIODSL_PROD_001","BIO",2025,695.170415473529
"Region1","BIODSL_PROD_001","BIO",2026,760.660198002483
"Region1","BIODSL_PROD_001","BIO",2027,828.697191069266
"Region1","BIODSL_PROD_001","BIO",2028,899.405025492086
"Region1","BIODSL_PROD_001","BIO",2029,972.913485091644
"Region1","BIODSL_PROD_001","BIO",2030,1049.35879079541
"Region1","BIODSL_PROD_001","BIO",2031,1103.35727120143
"Region1","BIODSL_PROD_001","BIO",2032,1160.58575771806
"Region1","BIODSL_PROD_001","BIO",2033,1221.20187012897
"Region1","BIODSL_PROD_001","BIO",2034,1285.37107797292
"Region1","BIODSL_PROD_001","BIO",2035,1353.26715903814
"Region1","BIODSL_PROD_001","BIODSL",2018,0
"Region1","BIODSL_PROD_001","BIODSL",2019,0
"Region1","BIODSL_PROD_001","BIODSL",2020,0
"Region1","BIODSL_PROD_001","BIODSL",2021,0
"Region1","BIODSL_PROD_001","BIODSL",2022,0
"Region1","BIODSL_PROD_001","BIODSL",2023,0
"Region1","BIODSL_PROD_001","BIODSL",2024,0
"Region1","BIODSL_PROD_001","BIODSL",2025,0
"Region1","BIODSL_PROD_001","BIODSL",2026,0
"Region1","BIODSL_PROD_001","BIODSL",2027,0
"Region1","BIODSL_PROD_001","BIODSL",2028,0
"Region1","BIODSL_PROD_001","BIODSL",2029,0
"Region1","BIODSL_PROD_001","BIODSL",2030,0
"Region1","BIODSL_PROD_001","BIODSL",2031,0
"Region1","BIODSL_PROD_001","BIODSL",2032,0
"Region1","BIODSL_PROD_001","BIODSL",2033,0
