r,y,TotalDiscountedCost
"Region1",2018,96749.2068322925
"Region1",2019,100858.48263136
"Region1",2020,102782.096501197
"Region1",2021,101023.216452847
"Region1",2022,100950.286695126
"Region1",2023,100689.262949949
"Region1",2024,99005.3315461164
"Region1",2025,94260.6987395476
"Region1",2026,93548.9740988338
"Region1",2027,93255.466797234
"Region1",2028,90779.2503099862
"Region1",2029,89819.9229697909
"Region1",2030,89129.8482707756
"Region1",2031,88480.3983798361
"Region1",2032,87601.1060272999
"Region1",2033,86987.1071874106
"Region1",2034,86947.9783045044
"Region1",2035,86880.0659825759
