r,t,y,TotalCapacityAnnual
"Region1","BIO_RESPRD",2018,298.866133366079
"Region1","BIO_RESPRD",2019,298.866133366079
"Region1","BIO_RESPRD",2020,299.46460942651
"Region1","BIO_RESPRD",2021,300.726345010431
"Region1","BIO_RESPRD",2022,301.90512359806
"Region1","BIO_RESPRD",2023,303.387366787631
"Region1","BIO_RESPRD",2024,305.188730158076
"Region1","BIO_RESPRD",2025,307.32572525633
"Region1","BIO_RESPRD",2026,309.815767865859
"Region1","BIO_RESPRD",2027,312.677229867336
"Region1","BIO_RESPRD",2028,315.929492957035
"Region1","BIO_RESPRD",2029,319.593006820081
"Region1","BIO_RESPRD",2030,323.689349401823
"Region1","BIO_RESPRD",2031,328.157022497327
"Region1","BIO_RESPRD",2032,333.104326871656
"Region1","BIO_RESPRD",2033,338.556627782908
"Region1","BIO_RESPRD",2034,344.540699056432
"Region1","BIO_RESPRD",2035,351.084805464415
"Region1","BIO_RESPRD2",2018,0
"Region1","BIO_RESPRD2",2019,0
"Region1","BIO_RESPRD2",2020,0
"Region1","BIO_RESPRD2",2021,0
"Region1","BIO_RESPRD2",2022,0
"Region1","BIO_RESPRD2",2023,0
"Region1","BIO_RESPRD2",2024,0
"Region1","BIO_RESPRD2",2025,0
"Region1","BIO_RESPRD2",2026,0
"Region1","BIO_RESPRD2",2027,0
"Region1","BIO_RESPRD2",2028,0
"Region1","BIO_RESPRD2",2029,0
"Region1","BIO_RESPRD2",2030,0
"Region1","BIO_RESPRD2",2031,0
"Region1","BIO_RESPRD2",2032,0
"Region1","BIO_RESPRD2",2033,0
"Region1","BIO_RESPRD2",2034,0
"Region1","BIO_RESPRD2",2035,0
"Region1","BIODSL_PROD_001",2018,155.416606014601
"Region1","BIODSL_PROD_001",2019,155.416606014601
"Region1","BIODSL_PROD_001",2020,155.727826014826
"Region1","BIODSL_PROD_001",2021,156.383954763614
"Region1","BIODSL_PROD_001",2022,156.996944148757
"Region1","BIODSL_PROD_001",2023,157.767741439226
"Region1","BIODSL_PROD_001",2024,158.704487861714
"Region1","BIODSL_PROD_001",2025,159.815769764082
"Region1","BIODSL_PROD_001",2026,161.110643715996
"Region1","BIODSL_PROD_001",2027,162.598663477554
"Region1","BIODSL_PROD_001",2028,164.289907933975
"Region1","BIODSL_PROD_001",2029,166.195011346896
"Region1","BIODSL_PROD_001",2030,168.325194696736
"Region1","BIODSL_PROD_001",2031,170.648477637716
"Region1","BIODSL_PROD_001",2032,173.221178820414
"Region1","BIODSL_PROD_001",2033,176.056488706661
"Region1","BIODSL_PROD_001",2034,179.168330242554
"Region1","BIODSL_PROD_001",2035,182.571401697564
"Region1","BIOETH_PROD_001",2018,0
"Region1","BIOETH_PROD_001",2019,0
"Region1","BIOETH_PROD_001",2020,0
"Region1","BIOETH_PROD_001",2021,0
"Region1","BIOETH_PROD_001",2022,0
"Region1","BIOETH_PROD_001",2023,0
"Region1","BIOETH_PROD_001",2024,0
"Region1","BIOETH_PROD_001",2025,0
"Region1","BIOETH_PROD_001",2026,0
"Region1","BIOETH_PROD_001",2027,0
"Region1","BIOETH_PROD_001",2028,0
"Region1","BIOETH_PROD_001",2029,0
"Region1","BIOETH_PROD_001",2030,0
"Region1","BIOETH_PROD_001",2031,0
"Region1","BIOETH_PROD_001",2032,0
"Region1","BIOETH_PROD_001",2033,0
"Region1","BIOETH_PROD_001",2034,0
"Region1","BIOETH_PROD_001",2035,0
"Region1","BS_COM_EL_001",2018,0
"Region1","BS_COM_EL_001",2019,0
"Region1","BS_COM_EL_001",2020,0
"Region1","BS_COM_EL_001",2021,0
"Region1","BS_COM_EL_001",2022,0
"Region1","BS_COM_EL_001",2023,0
"Region1","BS_COM_EL_001",2024,0
"Region1","BS_COM_EL_001",2025,0
"Region1","BS_COM_EL_001",2026,0
"Region1","BS_COM_EL_001",2027,0
"Region1","BS_COM_EL_001",2028,0
"Region1","BS_COM_EL_001",2029,0
"Region1","BS_COM_EL_001",2030,0
"Region1","BS_COM_EL_001",2031,0
"Region1","BS_COM_EL_001",2032,0
"Region1","BS_COM_EL_001",2033,0
"Region1","BS_COM_EL_001",2034,0
"Region1","BS_COM_EL_001",2035,0
"Region1","BS_COM_HEAT_001",2018,0
"Region1","BS_COM_HEAT_001",2019,0
"Region1","BS_COM_HEAT_001",2020,0
"Region1","BS_COM_HEAT_001",2021,0
"Region1","BS_COM_HEAT_001",2022,0
"Region1","BS_COM_HEAT_001",2023,0
"Region1","BS_COM_HEAT_001",2024,0
"Region1","BS_COM_HEAT_001",2025,0
