r,y,TotalDiscountedCost
"Region1",2018,727290.368428252
"Region1",2019,78932.9753893571
"Region1",2020,65802.1987118687
"Region1",2021,62664.063005916
"Region1",2022,61528.1625088185
"Region1",2023,59500.1200023935
"Region1",2024,58918.3162834046
"Region1",2025,57481.2300974639
"Region1",2026,55345.0739477194
"Region1",2027,52539.2573235914
"Region1",2028,52308.5740663012
"Region1",2029,52765.5701870101
"Region1",2030,49747.5460995402
"Region1",2031,53050.9265795551
"Region1",2032,57295.1062176456
"Region1",2033,58088.726999031
"Region1",2034,59816.3586887204
"Region1",2035,60058.9068693014
"Region1",2036,54913.2200860173
"Region1",2037,55662.6802389071
"Region1",2038,58305.2109652075
"Region1",2039,59191.807011639
"Region1",2040,59878.6546421539
"Region1",2041,60621.5842876037
"Region1",2042,61278.0505463352
"Region1",2043,61929.320357853
"Region1",2044,62638.8545450749
"Region1",2045,63245.1281295659
"Region1",2046,63862.4238676657
"Region1",2047,65452.9427424562
"Region1",2048,66061.5355958626
"Region1",2049,68136.4411092581
"Region1",2050,68541.1779404675
